기준연월,가방류,귀금속류,기타,담배,민예품류,시계,식품류,신발류,안경(선글라스)류,의류,인홍삼류,전자제품류,주류,향수,화장품
Jan.19,1588,838,346,653,18,976,182,175,211,509,353,207,328,528,10204
Feb.19,1492,899,345,566,18,952,156,173,335,409,279,221,252,506,10813
Mar.19,1657,930,418,654,22,1018,188,238,402,560,310,232,314,622,14091
Apr.19,1600,958,434,632,23,1081,190,257,448,604,314,220,354,609,12223
May.19,1733,1041,451,627,29,1245,203,285,461,661,323,228,333,694,12545
Jun.19,1720,974,450,629,25,1150,202,276,419,609,293,232,347,664,11582
Jul.19,1725,1087,438,575,22,1300,204,234,397,598,295,229,332,702,12013
Aug.19,1794,1075,427,575,19,1267,208,219,334,629,296,200,347,696,13759
Sep.19,1652,979,396,537,18,1231,206,233,255,736,307,170,349,656,14697
Oct.19,1620,966,395,563,18,1223,218,235,241,775,287,175,384,643,14130
Nov.19,1774,1059,398,561,16,1195,206,255,205,821,279,174,379,677,14883
Dec.19,1830,1106,418,557,15,1377,209,271,219,836,301,183,409,830,14285
Jan.20,1643,949,382,534,15,1022,201,231,222,624,304,132,345,627,13017
Feb.20,511,258,160,239,8,226,90,77,99,152,113,59,132,274,8627
Mar.20,175,56,48,87,1,66,18,32,46,129,71,9,39,73,10023
Apr.20,125,43,58,56,1,18,10,34,67,142,80,11,110,212,8900
May.20,277,63,74,93,1,35,14,32,114,162,79,30,136,281,8789
Jun.20,279,216,58,115,1,57,17,33,77,158,72,18,128,330,9572
Jul.20,394,351,61,119,1,144,18,53,62,149,66,31,79,282,10707
Aug.20,461,499,76,129,,322,20,61,69,226,82,66,205,435,11783
Sep.20,377,400,74,101,,264,16,78,40,230,130,31,209,457,12433
Oct.20,380,266,80,130,1,316,19,66,34,264,98,21,152,403,11667
Nov.20,443,339,88,142,1,404,19,72,42,304,73,20,178,442,11628
Dec.20,449,419,109,100,1,427,16,78,20,347,75,47,236,369,9155
Jan.21,445,380,79,83,,361,18,94,29,286,80,6,180,422,11367
Feb.21,520,406,100,105,,339,16,120,104,279,63,20,178,387,9049
Mar.21,586,410,149,139,,338,19,143,133,378,71,55,268,543,11115
Apr.21,524,348,148,138,1,359,20,115,100,389,72,64,223,576,12498
May.21,601,375,168,130,1,540,17,134,118,415,65,40,261,621,12200
Jun.21,575,358,121,146,1,505,32,150,78,361,64,37,252,590,10209
Jul.21,504,417,117,105,1,499,17,121,76,303,52,33,216,648,10058
Aug.21,553,427,141,138,1,434,15,120,45,328,65,32,229,611,12119
Sep.21,509,334,127,152,,442,13,123,43,334,66,54,242,685,14533
Oct.21,557,305,141,160,1,457,29,116,49,500,66,44,304,879,12627
Nov.21,581,333,200,194,1,494,27,220,52,486,78,27,301,884,13752
Dec.21,666,349,153,159,1,355,31,143,43,396,69,31,264,820,10299
Jan.22,455,297,115,141,1,230,22,111,102,285,73,144,263,745,8635
Feb.22,494,504,126,151,1,383,21,169,91,382,61,18,268,806,10803
Mar.22,559,413,179,144,1,273,20,144,97,466,58,316,246,916,12839
Apr.22,503,297,170,185,2,452,25,146,165,340,74,7,295,976,10195
May.22,609,296,160,196,3,341,30,129,182,305,91,10,314,870,11000
Jun.22,542,302,163,228,4,344,32,105,108,315,81,28,368,975,11019
Jul.22,530,295,151,204,5,343,41,109,120,300,99,37,319,790,9128
Aug.22,601,349,174,214,5,446,46,102,109,374,111,20,323,741,12084
Sep.22,540,290,168,206,6,327,49,131,81,394,105,11,274,973,14128
Oct.22,591,320,191,252,7,335,60,151,99,531,100,17,337,954,14911
Nov.22,616,367,182,245,6,307,60,145,94,557,111,14,307,770,10719
Dec.22,642,490,172,248,6,313,66,123,110,540,122,16,374,589,9629
Jan.23,585,234,174,264,6,90,63,78,113,256,93,22,341,331,5322
Feb.23,639,390,214,273,5,124,64,101,161,357,99,20,353,703,7401
Mar.23,690,387,243,313,7,162,79,129,187,464,120,24,403,800,8210
Apr.23,803,487,244,323,9,309,96,145,226,440,137,30,392,800,7308
May.23,855,542,277,337,10,361,112,144,227,429,147,39,408,557,7123
Jun.23,801,559,268,352,11,359,111,139,228,424,136,53,335,619,6312
Jul.23,856,539,249,356,13,323,115,117,258,381,149,65,377,685,5424
Aug.23,857,493,257,375,13,326,124,119,261,450,144,56,407,645,6840
Sep.23,884,465,251,427,10,346,125,156,239,529,159,86,420,841,8335
Oct.23,890,440,244,407,14,306,132,149,213,568,161,55,412,534,8768
Nov.23,789,449,230,376,15,328,134,147,182,746,140,64,406,626,6920
Dec.23,945,634,239,390,12,359,122,164,197,761,150,71,422,894,7714
Jan.24,909,644,269,434,13,403,131,174,250,589,165,76,485,850,10515
Feb.24,944,575,245,385,13,304,115,172,265,424,130,76,425,480,4600
Mar.24,1084,629,304,415,14,375,136,190,318,583,133,83,424,559,6618
Apr.24,1095,590,332,418,21,365,147,180,341,555,160,82,471,595,7151
May.24,1110,606,350,420,16,367,152,167,352,545,151,85,485,611,7123
Jun.24,1088,598,315,427,15,347,157,146,360,497,134,83,385,553,6892
Jul.24,1040,538,295,427,17,284,154,134,342,438,130,90,395,684,5096
Aug.24,1125,629,307,452,19,320,163,143,325,475,137,99,447,695,7099
Sep.24,1133,616,304,442,20,319,159,155,282,562,139,106,482,727,6495
Oct.24,1108,570,304,454,20,324,172,190,256,727,142,91,455,693,5605
Nov.24,999,505,277,450,14,263,164,164,216,724,137,79,468,668,5022
Dec.24,974,546,292,453,23,278,151,181,204,878,136,74,482,978,6931
Jan.25,1042,624,282,443,20,278,149,143,242,544,133,78,472,567,4527
Feb.25,1022,636,293,392,19,265,136,124,260,459,102,78,419,575,5225
Mar.25,1266,611,345,438,24,307,161,149,297,621,119,74,450,665,5319